"1- Onde o sr.(a) reside (mora)?","PERCENTUAL"
"Natureza","0.55"
"Vento,praia","0.27"
"Porque tem muitos Argentinos","0.27"
"Belezas naturais e noite da pipa","0.55"
"Bonito, calmo e ambiente\clima praiano","0.27"
"Devido ao turismo","0.27"
"Beleza e tranquilidade","0.55"
"Muitas praias bonitas","0.27"
"Surf","0.27"
"Visitar amigos ","0.27"
"Agradável, praias noite","0.27"
"Ondas","0.27"
"Belezas naturais e visita a família","0.27"
"Gosta da tranquilidade, a agente, praia , segurança na praia","0.27"
" Praias bonitas,","0.27"
"Praia bonita","0.27"
"Belezas naturais e noite","0.82"
"Muito belo","0.27"
"Paraíso","0.55"
